,case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,pop2026
90,1921,NC,False,"Anson County, NC",Anson County,2p3c,10596.0,10249.65528,14041.1076,17832.3768,7553.20308,11888.1042,7092.10176,79252.5468,52531.39453125,
91,1921,NC,False,"Anson County, NC",Anson County,1p1c,8316.0,4281.31536,11671.83984,7651.72188,4564.50408,6378.8562,5286.453,48150.6912,52531.39453125,
92,1678,NE,False,"Antelope County, NE",Antelope County,2p3c,11040.0,11054.98608,15838.1532,26262.2436,8005.88448,18138.1116,11696.35176,102035.73,65682.984375,
93,1678,NE,False,"Antelope County, NE",Antelope County,1p1c,8808.0,4617.705,12648.4116,11276.31,4864.66224,6601.52268,6250.82004,55067.4312,65682.984375,
94,1257,MI,False,"Antrim County, MI",Antrim County,2p3c,12168.0,12775.4628,15681.168,14408.13,9038.001,16139.202,8741.75028,88951.7172,68512.9140625,
95,1257,MI,False,"Antrim County, MI",Antrim County,1p1c,8808.0,5336.3544,12266.4936,6192.94044,5125.0572,6739.06716,5551.54692,50019.4572,68512.9140625,
96,97,AZ,False,"Apache County, AZ",Apache County,2p3c,12300.0,11787.10476,15174.8832,23608.2252,8727.70824,14017.5456,8774.17968,94389.6444,42365.81640625,
97,97,AZ,False,"Apache County, AZ",Apache County,1p1c,9420.0,4923.51312,12685.8936,10116.501,5197.22016,5926.10484,5645.0196,53914.254,42365.81640625,
98,799,IA,False,"Appanoose County, IA",Appanoose County,2p3c,11088.0,9407.71944,15157.9764,16293.06,7426.407,11271.65844,7225.10964,77869.9332,54523.4375,
99,799,IA,False,"Appanoose County, IA",Appanoose County,1p1c,8580.0,3929.6364,11874.03588,7001.25,4532.73492,6788.71512,5556.9804,48263.352,54523.4375,
100,394,GA,False,"Appling County, GA",Appling County,2p3c,11124.0,10542.50388,14095.5552,17455.392,7850.62872,9106.5066,6392.42208,76567.008,51470.68359375,
101,394,GA,False,"Appling County, GA",Appling County,1p1c,7776.0,4403.63928,11703.50244,7490.06028,4413.16368,5137.4454,4840.578,45764.3904,51470.68359375,
102,2855,VA,True,"Lynchburg, VA MSA",Appomattox County,2p3c,10663.73808,11054.98608,16096.4628,19194.006,7869.55008,14900.0328,9369.44532,89148.2232,70459.7734375,
103,2855,VA,True,"Lynchburg, VA MSA",Appomattox County,1p1c,7939.5732,4617.705,12656.1108,8210.4954,4549.99692,7902.78,6530.29692,52406.9592,70459.7734375,
104,2556,TX,True,"Aransas County, TX HUD Metro FMR Area",Aransas County,2p3c,15564.0,10835.35176,14722.7772,17769.8352,9565.5264,12977.8716,6132.96864,87568.3296,59862.9296875,
105,2556,TX,True,"Aransas County, TX HUD Metro FMR Area",Aransas County,1p1c,10872.0,4525.96248,11322.16548,7599.77196,5579.28924,6821.47188,4503.66396,51224.3256,59862.9296875,
106,247,CO,True,"Denver-Aurora-Lakewood, CO MSA",Arapahoe County,2p3c,26457.4488,12482.6172,15252.078,13863.2976,14109.522,23552.4144,17513.4912,123230.868,96874.875,677026.0
107,247,CO,True,"Denver-Aurora-Lakewood, CO MSA",Arapahoe County,1p1c,19425.5268,5214.03108,10686.70752,5939.89236,8927.88432,13072.2276,10772.01924,74038.2888,96874.875,677026.0
